trade_id,symbol,buy_reason,entry_price,exit_price,quantity,lot_size,entry_time,exit_time,realized_pnl
PAPER-1772357926,SENSEX 05MAR 81200 CE,"BB15, Green",1050.05,1008.5,900,10,2026-03-01 15:08:46.912213,2026-03-01 15:08:47.015033,-373949.9999999996
PAPER-1772357928,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,941.45,900,10,2026-03-01 15:08:48.473690,2026-03-01 15:08:48.591592,-187649.99999999919
PAPER-1772357928,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,939.2,900,10,2026-03-01 15:08:48.595027,2026-03-01 15:08:48.654969,-207899.99999999919
PAPER-1772357928,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,923.5,900,10,2026-03-01 15:08:48.657572,2026-03-01 15:08:48.734504,-349199.9999999996
PAPER-1772357929,SENSEX 05MAR 81200 CE,"BB12, BB17, Green",980.0,953.15,900,10,2026-03-01 15:08:49.694388,2026-03-01 15:08:49.808771,-241650.0000000002
PAPER-1772357931,SENSEX 05MAR 81200 CE,"BB12, CBB0, CBB1, CBB3",976.7,954.5,900,10,2026-03-01 15:08:51.768044,2026-03-01 15:08:52.376954,-199800.0000000004
PAPER-1772357932,SENSEX 05MAR 81200 CE,"BB12, CBB0, CBB4",986.3,957.1,900,10,2026-03-01 15:08:52.379872,2026-03-01 15:08:52.441213,-262799.99999999936
PAPER-1772357933,SENSEX 05MAR 81200 CE,"NRCB, BB12",903.25,920.5,900,10,2026-03-01 15:08:53.988423,2026-03-01 15:08:55.296817,155250.0
PAPER-1772357935,SENSEX 05MAR 81200 CE,CBBR2,903.55,880.0,900,10,2026-03-01 15:08:55.621945,2026-03-01 15:08:55.752304,-211949.9999999996
PAPER-1772357936,SENSEX 05MAR 81200 CE,"CBBR2, CBBR6, CBBR7",894.45,864.05,900,10,2026-03-01 15:08:56.211780,2026-03-01 15:08:56.278779,-273600.0000000008
PAPER-1772357936,SENSEX 05MAR 81200 CE,"NRCB, BB12, CBBR3, CBBR6",901.6,883.5,900,10,2026-03-01 15:08:56.744979,2026-03-01 15:08:56.882849,-162900.0000000002
PAPER-1772357937,SENSEX 05MAR 81200 CE,CBBR6,879.0,860.0,900,10,2026-03-01 15:08:57.959616,2026-03-01 15:08:58.028477,-171000.0
PAPER-1772357938,SENSEX 05MAR 81200 CE,CBBR6,879.0,830.0,900,10,2026-03-01 15:08:58.031427,2026-03-01 15:08:58.101614,-441000.0
PAPER-1772357939,SENSEX 05MAR 81200 CE,"CBBR1, CBBR3, CBBR6",855.0,847.65,900,10,2026-03-01 15:08:59.272958,2026-03-01 15:09:01.460836,-66150.0000000002
PAPER-1772357941,SENSEX 05MAR 81200 CE,"CBBR2, CBBR3",877.5,871.15,900,10,2026-03-01 15:09:01.463619,2026-03-01 15:09:01.679919,-57150.000000000204
PAPER-1772357942,SENSEX 05MAR 81200 CE,"BB12, BB13, CBBR2, CBBR3, CBBR5, Green",950.0,920.65,900,10,2026-03-01 15:09:02.643121,2026-03-01 15:09:03.179578,-264150.00000000023
PAPER-1772357943,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,924.35,900,10,2026-03-01 15:09:03.778351,2026-03-01 15:09:03.854212,-205650.0000000002
PAPER-1772357943,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,912.65,900,10,2026-03-01 15:09:03.857171,2026-03-01 15:09:03.933949,-310950.00000000064
PAPER-1772357943,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,897.15,900,10,2026-03-01 15:09:03.937404,2026-03-01 15:09:04.036489,-450450.00000000064
PAPER-1772357944,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,910.0,900,10,2026-03-01 15:09:04.039636,2026-03-01 15:09:04.116795,-334800.0000000004
PAPER-1772357944,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,915.4,900,10,2026-03-01 15:09:04.119163,2026-03-01 15:09:04.195126,-286200.00000000064
PAPER-1772357946,SENSEX 05MAR 81200 CE,"CBB0, CBB1, CBB2, CBB6, CBB7",860.7,718.1,900,10,2026-03-01 15:09:06.912309,2026-03-01 15:09:07.638223,-1283400.0000000002
PAPER-1772357951,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",274.05,256.1,900,10,2026-03-01 15:09:11.590516,2026-03-01 15:09:11.641915,-161549.99999999988
PAPER-1772357951,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,256.0,900,10,2026-03-01 15:09:11.851386,2026-03-01 15:09:11.905718,-58049.9999999999
PAPER-1772357951,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,255.1,900,10,2026-03-01 15:09:11.907826,2026-03-01 15:09:11.961258,-66149.99999999994
PAPER-1772357951,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,250.0,900,10,2026-03-01 15:09:11.964263,2026-03-01 15:09:12.017133,-112049.9999999999
PAPER-1772357952,SENSEX 05MAR 81200 PE,"BB5, BB8, BB12, BB17, Green",271.85,268.45,900,10,2026-03-01 15:09:12.538916,2026-03-01 15:09:12.649319,-30600.000000000306
PAPER-1772357953,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",239.95,286.0,900,10,2026-03-01 15:09:13.654278,2026-03-01 15:09:14.236364,414450.0000000001
PAPER-1772357954,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB4",294.8,314.5,900,10,2026-03-01 15:09:14.600096,2026-03-01 15:09:14.864447,177299.99999999988
PAPER-1772357955,SENSEX 05MAR 81200 PE,CBBR2,295.25,330.25,900,10,2026-03-01 15:09:15.053948,2026-03-01 15:09:15.939798,315000.0
PAPER-1772357956,SENSEX 05MAR 81200 PE,"BB6, BB8, BB12, CBB0, CBB1, CBB3, CBB8, Green",350.0,361.8,900,10,2026-03-01 15:09:16.008718,2026-03-01 15:09:16.538790,106200.0000000001
PAPER-1772357957,SENSEX 05MAR 81200 PE,"CBB0, CBB4",367.45,350.7,900,10,2026-03-01 15:09:17.004250,2026-03-01 15:09:17.144468,-150750.0
PAPER-1772357957,SENSEX 05MAR 81200 PE,"BB17, CBB0, CBB4, Green",368.1,316.8,900,10,2026-03-01 15:09:17.146627,2026-03-01 15:09:17.214672,-461700.0000000001
PAPER-1772357957,SENSEX 05MAR 81200 PE,"BB17, Green",326.6,311.35,900,10,2026-03-01 15:09:17.418879,2026-03-01 15:09:17.627736,-137250.0
PAPER-1772357958,SENSEX 05MAR 81200 PE,"BB17, Green",313.9,312.05,900,10,2026-03-01 15:09:18.107142,2026-03-01 15:09:18.526215,-16649.999999999694
PAPER-1772357959,SENSEX 05MAR 81200 PE,"BB17, Green",329.6,306.2,900,10,2026-03-01 15:09:19.291151,2026-03-01 15:09:19.435646,-210600.00000000032
PAPER-1772357962,SENSEX 05MAR 81200 PE,NRCB,141.15,146.3,900,10,2026-03-01 15:09:22.767918,2026-03-01 15:09:23.324268,46350.00000000005
PAPER-1772357965,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,125.1,900,10,2026-03-01 15:09:25.211300,2026-03-01 15:09:25.295294,-30600.00000000005
PAPER-1772357965,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,125.35,900,10,2026-03-01 15:09:25.298862,2026-03-01 15:09:25.382134,-28350.00000000005
PAPER-1772357965,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,122.85,900,10,2026-03-01 15:09:25.384529,2026-03-01 15:09:25.707096,-50850.00000000005
PAPER-1772357966,SENSEX 05MAR 81200 PE,"BB12, BB13, Green",130.75,125.45,900,10,2026-03-01 15:09:26.367637,2026-03-01 15:09:26.536284,-47699.99999999997
PAPER-1772357967,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB4",132.5,129.3,900,10,2026-03-01 15:09:27.541438,2026-03-01 15:09:27.715868,-28799.999999999898
PAPER-1772357968,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBBR1",132.65,129.1,900,10,2026-03-01 15:09:28.327644,2026-03-01 15:09:28.505338,-31950.000000000102
PAPER-1772357968,SENSEX 05MAR 81200 PE,"BB5, BB12, BB17, CBB0, CBB1, CBB2, CBB5, CBB6, CBB7, Green",181.25,180.15,900,10,2026-03-01 15:09:28.860805,2026-03-01 15:09:29.137753,-9899.999999999949
PAPER-1772357969,SENSEX 05MAR 81200 PE,"BB5, BB12, BB17, CBB0, CBB1, CBB2, CBB5, CBB6, CBB7, Green",194.05,183.5,900,10,2026-03-01 15:09:29.140076,2026-03-01 15:09:29.231458,-94950.0000000001
PAPER-1772357969,SENSEX 05MAR 81200 PE,"BB5, BB12, BB17, CBB0, CBB1, CBB2, CBB5, CBB6, CBB7, Green",194.05,183.85,900,10,2026-03-01 15:09:29.233950,2026-03-01 15:09:29.323840,-91800.00000000016
PAPER-1772357970,SENSEX 05MAR 81200 PE,"BB1, BB9, CBB0, CBB3, CBB4",238.6,228.15,900,10,2026-03-01 15:09:30.595406,2026-03-01 15:09:30.967633,-94049.9999999999
PAPER-1772357971,SENSEX 05MAR 81200 PE,CBBR2,218.7,231.8,900,10,2026-03-01 15:09:31.788430,2026-03-01 15:09:32.257422,117900.0000000002
PAPER-1772357972,SENSEX 05MAR 81200 PE,"CBBR1, CBBR2, CBBR7",236.0,230.2,900,10,2026-03-01 15:09:32.820291,2026-03-01 15:09:33.200378,-52200.0000000001
PAPER-1772357975,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, Green",234.1,223.8,900,10,2026-03-01 15:09:35.352306,2026-03-01 15:09:35.451798,-92699.99999999984
PAPER-1772357975,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, Green",234.1,221.0,900,10,2026-03-01 15:09:35.454121,2026-03-01 15:09:35.553213,-117899.99999999994
