id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_56100_CE,BANKEX 26FEB 56100 CE,858963,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56100_PE,BANKEX 26FEB 56100 PE,859289,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56200_CE,BANKEX 26FEB 56200 CE,859439,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56200_PE,BANKEX 26FEB 56200 PE,858908,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56300_CE,BANKEX 26FEB 56300 CE,859066,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56300_PE,BANKEX 26FEB 56300 PE,859386,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56400_CE,BANKEX 26FEB 56400 CE,833173,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56400_PE,BANKEX 26FEB 56400 PE,833165,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56500_CE,BANKEX 26FEB 56500 CE,822638,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56500_PE,BANKEX 26FEB 56500 PE,822735,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56600_CE,BANKEX 26FEB 56600 CE,821588,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56600_PE,BANKEX 26FEB 56600 PE,821667,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56700_CE,BANKEX 26FEB 56700 CE,821703,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56700_PE,BANKEX 26FEB 56700 PE,821416,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56800_CE,BANKEX 26FEB 56800 CE,821609,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56800_PE,BANKEX 26FEB 56800 PE,821691,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56900_CE,BANKEX 26FEB 56900 CE,820841,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_56900_PE,BANKEX 26FEB 56900 PE,820779,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57000_CE,BANKEX 26FEB 57000 CE,821009,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57000_PE,BANKEX 26FEB 57000 PE,820947,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57100_CE,BANKEX 26FEB 57100 CE,820185,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57100_PE,BANKEX 26FEB 57100 PE,820792,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57200_CE,BANKEX 26FEB 57200 CE,820573,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57200_PE,BANKEX 26FEB 57200 PE,821201,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57300_CE,BANKEX 26FEB 57300 CE,820433,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_57300_PE,BANKEX 26FEB 57300 PE,821043,30,0.05,option,900,,IDX_-94_BSE
