id,dispName,excToken,lot,tick,asset,freezeQty,isin,desc
EQT_RELIANCE_EQ_NSE,RELIANCE,2885,1,0.1,equity,67662,INE002A01018,RELIANCE INDUSTRIES LTD
EQT_RELIANCE_A_BSE,RELIANCE,500325,1,0.05,equity,,INE002A01018,RELIANCE INDUSTRIES LTD.
EQT_HDFCBANK_EQ_NSE,HDFCBANK,1333,1,0.05,equity,92307,INE040A01034,HDFC BANK LTD
EQT_HDFCBANK_A_BSE,HDFCBANK,500180,1,0.05,equity,,INE040A01034,HDFC BANK LTD.
EQT_BHARTIARTL_EQ_NSE,BHARTIARTL,10604,1,0.1,equity,45616,INE397D01024,BHARTI AIRTEL LIMITED
EQT_BHARTIARTL_A_BSE,BHARTIARTL,532454,1,0.05,equity,,INE397D01024,BHARTI AIRTEL LTD.
EQT_TCS_EQ_NSE,TCS,11536,1,0.1,equity,32562,INE467B01029,TATA CONSULTANCY SERV LT
EQT_TCS_A_BSE,TCS,532540,1,0.05,equity,,INE467B01029,TATA CONSULTANCY SERVICES LTD.
EQT_ICICIBANK_EQ_NSE,ICICIBANK,4963,1,0.1,equity,64351,INE090A01021,ICICI BANK LTD.
EQT_ICICIBANK_A_BSE,ICICIBANK,532174,1,0.05,equity,,INE090A01021,ICICI BANK LTD.
EQT_SBIN_EQ_NSE,SBIN,3045,1,0.1,equity,92306,INE062A01020,STATE BANK OF INDIA
EQT_SBIN_A_BSE,SBIN,500112,1,0.05,equity,,INE062A01020,STATE BANK OF INDIA
EQT_INFY_EQ_NSE,INFY,1594,1,0.1,equity,64873,INE009A01021,INFOSYS LIMITED
EQT_INFY_A_BSE,INFY,500209,1,0.05,equity,,INE009A01021,INFOSYS LTD.
EQT_BAJFINANCE_EQ_NSE,BAJFINANCE,317,1,0.05,equity,99559,INE296A01032,BAJAJ FINANCE LIMITED
EQT_BAJFINANCE_A_BSE,BAJFINANCE,500034,1,0.05,equity,,INE296A01032,BAJAJ FINANCE LIMITED
EQT_LICI_EQ_NSE,LICI,9480,1,0.05,equity,107524,INE0J1Y01017,LIFE INSURA CORP OF INDIA
EQT_LICI_A_BSE,LICI,543526,1,0.05,equity,,INE0J1Y01017,LIFE INSURANCE CORPORATION OF 
EQT_HINDUNILVR_EQ_NSE,HINDUNILVR,1394,1,0.1,equity,39943,INE030A01027,HINDUSTAN UNILEVER LTD.
EQT_HINDUNILVR_A_BSE,HINDUNILVR,500696,1,0.05,equity,,INE030A01027,HINDUSTAN UNILEVER LTD.
EQT_LT_EQ_NSE,LT,11483,1,0.1,equity,23384,INE018A01030,LARSEN & TOUBRO LTD.
EQT_LT_A_BSE,LT,500510,1,0.05,equity,,INE018A01030,LARSEN & TOUBRO LTD.
EQT_MARUTI_EQ_NSE,MARUTI,10999,1,1.0,equity,6602,INE585B01010,MARUTI SUZUKI INDIA LTD.
EQT_MARUTI_A_BSE,MARUTI,532500,1,0.05,equity,,INE585B01010,MARUTI SUZUKI INDIA LTD.
EQT_M&M_EQ_NSE,M&M,2031,1,0.1,equity,27357,INE101A01026,MAHINDRA & MAHINDRA LTD
EQT_M&M_A_BSE,M&M,500520,1,0.05,equity,,INE101A01026,MAHINDRA & MAHINDRA LTD.
EQT_HCLTECH_EQ_NSE,HCLTECH,7229,1,0.1,equity,62414,INE860A01027,HCL TECHNOLOGIES LTD
EQT_HCLTECH_A_BSE,HCLTECH,532281,1,0.05,equity,,INE860A01027,HCL TECHNOLOGIES LTD.
EQT_KOTAKBANK_EQ_NSE,KOTAKBANK,1922,1,0.05,equity,228746,INE237A01036,KOTAK MAHINDRA BANK LTD
EQT_KOTAKBANK_A_BSE,KOTAKBANK,500247,1,0.05,equity,,INE237A01036,KOTAK MAHINDRA BANK LTD.
EQT_AXISBANK_EQ_NSE,AXISBANK,5900,1,0.1,equity,74507,INE238A01034,AXIS BANK LIMITED
